日付,製品名,不良項目,不良数,検査数,原因分類,発生工程,備考
2024-01-09,製品D,寸法不良,2,90,加工,熱処理,治具不良
2024-01-10,製品A,寸法不良,9,100,加工,旋盤,工具摩耗
2024-01-10,製品A,欠け,2,100,材料,旋盤,材料不良
2024-01-10,製品B,表面粗さ,4,80,工具,研削,砥石摩耗
2024-01-10,製品C,寸法不良,6,120,加工,組立,治具不良
2024-01-10,製品D,変形,2,90,環境,熱処理,温度管理不良
2024-01-11,製品A,表面粗さ,3,100,工具,旋盤,切削油不足
2024-01-11,製品A,変形,3,100,環境,旋盤,温度変化
2024-01-11,製品B,欠け,1,80,材料,研削,材料不良
2024-01-11,製品C,傷,4,120,作業者,組立,取扱不注意
2024-01-11,製品D,表面粗さ,3,90,工具,熱処理,温度管理不良
2024-01-12,製品A,寸法不良,5,100,加工,旋盤,工具摩耗
2024-01-12,製品A,欠け,4,100,材料,旋盤,材料不良
2024-01-12,製品B,表面粗さ,2,80,工具,研削,砥石摩耗
2024-01-12,製品C,寸法不良,2,120,加工,組立,治具不良
2024-01-12,製品D,傷,1,90,作業者,熱処理,取扱不注意
2024-01-13,製品A,表面粗さ,6,100,工具,旋盤,切削油不足
2024-01-13,製品A,変形,2,100,環境,旋盤,温度変化
2024-01-13,製品B,欠け,3,80,材料,研削,材料不良
2024-01-13,製品C,傷,2,120,作業者,組立,取扱不注意
2024-01-13,製品D,寸法不良,4,90,加工,熱処理,治具不良
2024-01-14,製品A,寸法不良,7,100,加工,旋盤,工具摩耗
2024-01-14,製品A,欠け,1,100,材料,旋盤,材料不良
2024-01-14,製品B,表面粗さ,5,80,工具,研削,砥石摩耗
2024-01-14,製品C,寸法不良,3,120,加工,組立,治具不良
2024-01-14,製品D,変形,3,90,環境,熱処理,温度管理不良
2024-01-15,製品A,表面粗さ,4,100,工具,旋盤,切削油不足
2024-01-15,製品A,変形,1,100,環境,旋盤,温度変化
2024-01-15,製品B,欠け,2,80,材料,研削,材料不良
2024-01-15,製品C,傷,3,120,作業者,組立,取扱不注意
2024-01-15,製品D,表面粗さ,2,90,工具,熱処理,温度管理不良
2024-01-16,製品A,寸法不良,6,100,加工,旋盤,工具摩耗
2024-01-16,製品A,欠け,3,100,材料,旋盤,材料不良
2024-01-16,製品B,表面粗さ,4,80,工具,研削,砥石摩耗
2024-01-16,製品C,寸法不良,5,120,加工,組立,治具不良
2024-01-16,製品D,傷,2,90,作業者,熱処理,取扱不注意
2024-01-17,製品A,表面粗さ,3,100,工具,旋盤,切削油不足
2024-01-17,製品A,変形,2,100,環境,旋盤,温度変化
2024-01-17,製品B,欠け,4,80,材料,研削,材料不良
2024-01-17,製品C,傷,1,120,作業者,組立,取扱不注意
2024-01-17,製品D,寸法不良,3,90,加工,熱処理,治具不良
2024-01-18,製品A,寸法不良,8,100,加工,旋盤,工具摩耗
2024-01-18,製品A,欠け,2,100,材料,旋盤,材料不良
2024-01-18,製品B,表面粗さ,3,80,工具,研削,砥石摩耗
2024-01-18,製品C,寸法不良,4,120,加工,組立,治具不良
2024-01-18,製品D,変形,2,90,環境,熱処理,温度管理不良
2024-01-19,製品A,表面粗さ,5,100,工具,旋盤,切削油不足
2024-01-19,製品A,変形,1,100,環境,旋盤,温度変化
2024-01-19,製品B,欠け,1,80,材料,研削,材料不良
2024-01-19,製品C,傷,4,120,作業者,組立,取扱不注意
2024-01-19,製品D,表面粗さ,4,90,工具,熱処理,温度管理不良
2024-01-20,製品A,寸法不良,4,100,加工,旋盤,工具摩耗
2024-01-20,製品A,欠け,3,100,材料,旋盤,材料不良
2024-01-20,製品B,表面粗さ,6,80,工具,研削,砥石摩耗
2024-01-20,製品C,寸法不良,2,120,加工,組立,治具不良
2024-01-20,製品D,傷,1,90,作業者,熱処理,取扱不注意
2024-01-21,製品A,表面粗さ,2,100,工具,旋盤,切削油不足
2024-01-21,製品A,変形,3,100,環境,旋盤,温度変化
2024-01-21,製品B,欠け,2,80,材料,研削,材料不良
2024-01-21,製品C,傷,3,120,作業者,組立,取扱不注意
2024-01-21,製品D,寸法不良,5,90,加工,熱処理,治具不良
2024-01-22,製品A,寸法不良,9,100,加工,旋盤,工具摩耗
2024-01-22,製品A,欠け,1,100,材料,旋盤,材料不良
2024-01-22,製品B,表面粗さ,4,80,工具,研削,砥石摩耗
2024-01-22,製品C,寸法不良,6,120,加工,組立,治具不良
2024-01-22,製品D,変形,3,90,環境,熱処理,温度管理不良
2024-01-23,製品A,表面粗さ,3,100,工具,旋盤,切削油不足
2024-01-23,製品A,変形,2,100,環境,旋盤,温度変化
2024-01-23,製品B,欠け,3,80,材料,研削,材料不良
2024-01-23,製品C,傷,2,120,作業者,組立,取扱不注意
2024-01-23,製品D,表面粗さ,2,90,工具,熱処理,温度管理不良
2024-01-24,製品A,寸法不良,5,100,加工,旋盤,工具摩耗
2024-01-24,製品A,欠け,4,100,材料,旋盤,材料不良
2024-01-24,製品B,表面粗さ,5,80,工具,研削,砥石摩耗
2024-01-24,製品C,寸法不良,3,120,加工,組立,治具不良
2024-01-24,製品D,傷,2,90,作業者,熱処理,取扱不注意
2024-01-25,製品A,表面粗さ,4,100,工具,旋盤,切削油不足
2024-01-25,製品A,変形,1,100,環境,旋盤,温度変化
2024-01-25,製品B,欠け,2,80,材料,研削,材料不良
2024-01-25,製品C,傷,4,120,作業者,組立,取扱不注意
2024-01-25,製品D,寸法不良,3,90,加工,熱処理,治具不良
2024-01-26,製品A,寸法不良,7,100,加工,旋盤,工具摩耗
2024-01-26,製品A,欠け,2,100,材料,旋盤,材料不良
2024-01-26,製品B,表面粗さ,3,80,工具,研削,砥石摩耗
2024-01-26,製品C,寸法不良,5,120,加工,組立,治具不良
2024-01-26,製品D,変形,2,90,環境,熱処理,温度管理不良
2024-01-27,製品A,表面粗さ,6,100,工具,旋盤,切削油不足
2024-01-27,製品A,変形,2,100,環境,旋盤,温度変化
2024-01-27,製品B,欠け,4,80,材料,研削,材料不良
2024-01-27,製品C,傷,1,120,作業者,組立,取扱不注意
2024-01-27,製品D,表面粗さ,4,90,工具,熱処理,温度管理不良
2024-01-28,製品A,寸法不良,6,100,加工,旋盤,工具摩耗
2024-01-28,製品A,欠け,3,100,材料,旋盤,材料不良
2024-01-28,製品B,表面粗さ,4,80,工具,研削,砥石摩耗
2024-01-28,製品C,寸法不良,4,120,加工,組立,治具不良
2024-01-28,製品D,傷,3,90,作業者,熱処理,取扱不注意
2024-01-29,製品A,表面粗さ,3,100,工具,旋盤,切削油不足
2024-01-29,製品A,変形,1,100,環境,旋盤,温度変化
2024-01-29,製品B,欠け,1,80,材料,研削,材料不良
2024-01-29,製品C,傷,3,120,作業者,組立,取扱不注意
2024-01-29,製品D,寸法不良,2,90,加工,熱処理,治具不良
2024-01-30,製品A,寸法不良,8,100,加工,旋盤,工具摩耗
2024-01-30,製品A,欠け,2,100,材料,旋盤,材料不良
2024-01-30,製品B,表面粗さ,5,80,工具,研削,砥石摩耗
2024-01-30,製品C,寸法不良,3,120,加工,組立,治具不良
2024-01-30,製品D,変形,3,90,環境,熱処理,温度管理不良
2024-01-31,製品A,表面粗さ,4,100,工具,旋盤,切削油不足
2024-01-31,製品A,変形,2,100,環境,旋盤,温度変化
2024-01-31,製品B,欠け,3,80,材料,研削,材料不良
2024-01-31,製品C,傷,2,120,作業者,組立,取扱不注意
2024-01-31,製品D,表面粗さ,3,90,工具,熱処理,温度管理不良
